native_cell_id,assigned_segments_count
GPM_CELL_33.25N_75.10E,20
GPM_CELL_33.25N_75.12E,20
GPM_CELL_33.25N_75.14E,20
GPM_CELL_33.25N_75.16E,20
GPM_CELL_33.25N_75.18E,20
GPM_CELL_33.25N_75.20E,20
GPM_CELL_33.25N_75.22E,20
GPM_CELL_33.25N_75.24E,18
