pair,spearman_rho,kendall_tau,identical_rank,top_10_overlap,top_20_overlap,relationship,status
DHI_A vs DHI_B,0.982,0.912,False,0.938,0.969,INDEPENDENT_PERCENTILE_MODULATION,INDEPENDENT_FORMULATION
DHI_A vs DHI_C,0.965,0.885,False,0.875,0.938,INDEPENDENT_UPPER_TAIL_MODULATION,INDEPENDENT_FORMULATION
DHI_A vs DHI_D,0.982,0.912,False,0.938,0.969,MONOTONIC_TRANSFORMATION_OF_DHI_B,MONOTONICALLY_REDUNDANT
DHI_B vs DHI_C,0.965,0.885,False,0.875,0.938,INDEPENDENT_UPPER_TAIL_MODULATION,INDEPENDENT_FORMULATION
DHI_B vs DHI_D,1.0,1.0,True,1.0,1.0,STRICTLY_MONOTONIC_POWER_TRANSFORMATION,MONOTONICALLY_REDUNDANT
DHI_C vs DHI_D,0.965,0.885,False,0.875,0.938,MONOTONIC_TRANSFORMATION_OF_DHI_B,MONOTONICALLY_REDUNDANT
