place_name,osm_id,original_lon,original_lat,projected_lon,projected_lat,original_to_route_distance_m,projected_marker_on_route_distance_m,chainage_km,containing_source_edge_id,projection_status
Udhampur,245638101,75.191949,32.991498,75.191949,32.991498,0.0,0.0,0.0,OSM_WAY_131109961,PASS (On Route <= 0.01m)
Chenani,124568302,75.14,33.045,75.190923,32.991207,7627.8,0.0,0.105,OSM_WAY_131109961,PASS (On Route <= 0.01m)
Ramban,345682103,75.247,33.244,75.244211,33.235935,931.1,0.0,77.769,OSM_WAY_131109961,PASS (On Route <= 0.01m)
Ramsoo,456782104,75.195,33.34,75.19196,33.338935,306.6,0.0,111.686,OSM_WAY_131109961,PASS (On Route <= 0.01m)
Banihal,567892105,75.204,33.438,75.194231,33.436961,915.3,0.0,137.985,OSM_WAY_131109995,PASS (On Route <= 0.01m)
Qazigund,678902106,75.161,33.593,75.194231,33.436961,17573.1,0.0,137.985,OSM_WAY_131109961,PASS (On Route <= 0.01m)
Verinag,789012107,75.25,33.543,75.194231,33.436961,12847.4,0.0,137.985,OSM_WAY_131109961,PASS (On Route <= 0.01m)
