length_type,length_km
Sum of Ordered Source-Edge Lengths,89.204
Merged Validation LineString Geometry Length,89.204
Complete Candidate Network Length (Including Excluded Branches),112.52
Previous Premature Sub-Component Length (V2-3A.2),89.42
