segment_id,dominant_lithology,fault_distance_nearest_m,fault_distance_active_m,fault_intersection_count,fault_density_100m,epsg_32643_verified,status
NH44_SEG_069,Quartzite / Schist / Slate,31442.06,33942.06,0,0.0,True,PASS
NH44_SEG_070,Quartzite / Schist / Slate,31701.04,34201.04,0,0.0,True,PASS
NH44_SEG_071,Quartzite / Schist / Slate,31887.74,34387.74,0,0.0,True,PASS
NH44_SEG_072,Quartzite / Schist / Slate,31862.99,34362.99,0,0.0,True,PASS
NH44_SEG_073,Quartzite / Schist / Slate,31997.74,34497.74,0,0.0,True,PASS
NH44_SEG_074,Quartzite / Schist / Slate,32119.74,34619.74,0,0.0,True,PASS
NH44_SEG_075,Quartzite / Schist / Slate,32469.76,34969.76,0,0.0,True,PASS
NH44_SEG_076,Quartzite / Schist / Slate,32925.7,35425.7,0,0.0,True,PASS
NH44_SEG_077,Quartzite / Schist / Slate,33225.19,35725.19,0,0.0,True,PASS
NH44_SEG_078,Quartzite / Schist / Slate,33448.79,35948.79,0,0.0,True,PASS
NH44_SEG_079,Quartzite / Schist / Slate,33700.85,36200.85,0,0.0,True,PASS
NH44_SEG_080,Quartzite / Schist / Slate,34150.67,36650.67,0,0.0,True,PASS
NH44_SEG_081,Quartzite / Schist / Slate,34360.14,36860.14,0,0.0,True,PASS
NH44_SEG_082,Quartzite / Schist / Slate,34216.6,36716.6,0,0.0,True,PASS
NH44_SEG_083,Quartzite / Schist / Slate,34060.43,36560.43,0,0.0,True,PASS
NH44_SEG_084,Quartzite / Schist / Slate,33994.93,36494.93,0,0.0,True,PASS
NH44_SEG_085,Quartzite / Schist / Slate,33946.08,36446.08,0,0.0,True,PASS
NH44_SEG_086,Quartzite / Schist / Slate,33921.47,36421.47,0,0.0,True,PASS
NH44_SEG_087,Quartzite / Schist / Slate,33971.21,36471.21,0,0.0,True,PASS
NH44_SEG_088,Quartzite / Schist / Slate,34082.07,36582.07,0,0.0,True,PASS
NH44_SEG_089,Quartzite / Schist / Slate,34111.82,36611.82,0,0.0,True,PASS
NH44_SEG_090,Quartzite / Schist / Slate,34055.92,36555.92,0,0.0,True,PASS
NH44_SEG_091,Quartzite / Schist / Slate,33958.63,36458.63,0,0.0,True,PASS
NH44_SEG_092,Quartzite / Schist / Slate,33958.79,36458.79,0,0.0,True,PASS
NH44_SEG_093,Quartzite / Schist / Slate,34184.52,36684.52,0,0.0,True,PASS
NH44_SEG_094,Quartzite / Schist / Slate,34209.03,36709.03,0,0.0,True,PASS
NH44_SEG_095,Quartzite / Schist / Slate,34302.2,36802.2,0,0.0,True,PASS
NH44_SEG_096,Quartzite / Schist / Slate,34251.38,36751.38,0,0.0,True,PASS
NH44_SEG_097,Quartzite / Schist / Slate,34183.22,36683.22,0,0.0,True,PASS
NH44_SEG_098,Quartzite / Schist / Slate,34519.78,37019.78,0,0.0,True,PASS
NH44_SEG_099,Quartzite / Schist / Slate,34878.59,37378.59,0,0.0,True,PASS
NH44_SEG_100,Quartzite / Schist / Slate,35176.78,37676.78,0,0.0,True,PASS
NH44_SEG_101,Quartzite / Schist / Slate,35275.53,37775.53,0,0.0,True,PASS
NH44_SEG_102,Quartzite / Schist / Slate,35294.73,37794.73,0,0.0,True,PASS
NH44_SEG_103,Quartzite / Schist / Slate,35551.78,38051.78,0,0.0,True,PASS
NH44_SEG_104,Quartzite / Schist / Slate,35786.89,38286.89,0,0.0,True,PASS
NH44_SEG_105,Quartzite / Schist / Slate,35982.62,38482.62,0,0.0,True,PASS
NH44_SEG_106,Quartzite / Schist / Slate,36242.55,38742.55,0,0.0,True,PASS
NH44_SEG_107,Quartzite / Schist / Slate,36561.02,39061.02,0,0.0,True,PASS
NH44_SEG_108,Quartzite / Schist / Slate,36680.97,39180.97,0,0.0,True,PASS
NH44_SEG_109,Quartzite / Schist / Slate,37090.99,39590.99,0,0.0,True,PASS
NH44_SEG_110,Quartzite / Schist / Slate,37255.37,39755.37,0,0.0,True,PASS
