tile_id,filename,absolute_path,crs,bounds_left,bounds_bottom,bounds_right,bounds_top,resolution_deg,width,height,dtype,nodata,unique_class_codes,file_size_bytes,sha256_16,covers_jk_quadrant,esa_spec_compliant
N30E072,ESA_WorldCover_10m_2021_v200_N30E072_Map (1).tif,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N30E072_Map (1).tif,EPSG:4326,72.0,30.0,75.0,33.0,8.333e-05,36000,36000,uint8,0.0,"10;20;30;40;50;60;80;90",122839390,54c7fcb36c475831,Southwest (Jammu),Yes
N30E075,ESA_WorldCover_10m_2021_v200_N30E075_Map.tif,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N30E075_Map.tif,EPSG:4326,75.0,30.0,78.0,33.0,8.333e-05,36000,36000,uint8,0.0,"10;20;30;40;50;60;70;80;90;100",102543746,a001d3a1e3ef918d,Southeast,Yes
N33E072,ESA_WorldCover_10m_2021_v200_N33E072_Map.tif,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N33E072_Map.tif,EPSG:4326,72.0,33.0,75.0,36.0,8.333e-05,36000,36000,uint8,0.0,"10;20;30;40;50;60;70;80;90;100",153200236,86b1d0251d60669c,Northwest (Kashmir),Yes
N33E075,ESA_WorldCover_10m_2021_v200_N33E075_Map.tif,C:\Users\Saurabh Sharma\Downloads\J&K\esa_worldcover_2021\ESA_WorldCover_10m_2021_v200_N33E075_Map.tif,EPSG:4326,75.0,33.0,78.0,36.0,8.333e-05,36000,36000,uint8,0.0,"10;20;30;40;50;60;70;80;90;100",97538409,1cb5803cbedb29c3,Northeast (Ladakh border),Yes
