feature_column,data_type,units,category,description
landcover_bareground_fraction,float64,fraction [0-1],LandCover,Extracted static geospatial metric: landcover bareground fraction across 100m segment buffer.
landcover_water_fraction,float64,fraction [0-1],LandCover,Extracted static geospatial metric: landcover water fraction across 100m segment buffer.
landcover_snow_ice_fraction,float64,fraction [0-1],LandCover,Extracted static geospatial metric: landcover snow ice fraction across 100m segment buffer.
geology_dominant_lithology,str,metres,Geology,Extracted static geospatial metric: geology dominant lithology across 100m segment buffer.
geology_lithological_diversity_count,int64,count / text,Geology,Extracted static geospatial metric: geology lithological diversity count across 100m segment buffer.
geology_overlap_pct,float64,percentage,Geology,Extracted static geospatial metric: geology overlap pct across 100m segment buffer.
fault_distance_nearest_m,float64,metres,Geology,Extracted static geospatial metric: fault distance nearest m across 100m segment buffer.
fault_intersection_count,int64,count / text,Geology,Extracted static geospatial metric: fault intersection count across 100m segment buffer.
fault_density_100m_m_per_sqkm,float64,metres,Geology,Extracted static geospatial metric: fault density 100m m per sqkm across 100m segment buffer.
fault_density_250m_m_per_sqkm,float64,metres,Geology,Extracted static geospatial metric: fault density 250m m per sqkm across 100m segment buffer.
fault_distance_active_m,float64,metres,Geology,Extracted static geospatial metric: fault distance active m across 100m segment buffer.
fault_active_intersection_count,int64,count / text,Geology,Extracted static geospatial metric: fault active intersection count across 100m segment buffer.
drainage_distance_min_m,float64,metres,Identification,Extracted static geospatial metric: drainage distance min m across 100m segment buffer.
drainage_distance_mean_m,float64,metres,Identification,Extracted static geospatial metric: drainage distance mean m across 100m segment buffer.
drainage_intersection_count,int64,count / text,Identification,Extracted static geospatial metric: drainage intersection count across 100m segment buffer.
drainage_density_100m_m_per_sqkm,float64,metres,Identification,Extracted static geospatial metric: drainage density 100m m per sqkm across 100m segment buffer.
road_distance_min_m,float64,metres,Identification,Extracted static geospatial metric: road distance min m across 100m segment buffer.
road_intersection_count,int64,count / text,Identification,Extracted static geospatial metric: road intersection count across 100m segment buffer.
road_density_m_per_sqkm,float64,metres,Identification,Extracted static geospatial metric: road density m per sqkm across 100m segment buffer.
road_cut_exposure_proxy,object,count / text,Identification,Extracted static geospatial metric: road cut exposure proxy across 100m segment buffer.
structure_open_road_length_m,float64,metres,Structure,Extracted static geospatial metric: structure open road length m across 100m segment buffer.
structure_tunnel_length_m,float64,metres,Structure,Extracted static geospatial metric: structure tunnel length m across 100m segment buffer.
structure_bridge_length_m,float64,metres,Structure,Extracted static geospatial metric: structure bridge length m across 100m segment buffer.
structure_open_road_fraction,float64,fraction [0-1],Structure,Extracted static geospatial metric: structure open road fraction across 100m segment buffer.
structure_tunnel_fraction,float64,fraction [0-1],Structure,Extracted static geospatial metric: structure tunnel fraction across 100m segment buffer.
structure_bridge_fraction,float64,fraction [0-1],Structure,Extracted static geospatial metric: structure bridge fraction across 100m segment buffer.
structure_dominant_type,str,metres,Structure,Extracted static geospatial metric: structure dominant type across 100m segment buffer.
structure_mixed_flag,bool,metres,Structure,Extracted static geospatial metric: structure mixed flag across 100m segment buffer.
structure_boundary_crossing_flag,bool,count / text,Structure,Extracted static geospatial metric: structure boundary crossing flag across 100m segment buffer.
valid_coverage_pct,float64,percentage,Identification,Extracted static geospatial metric: valid coverage pct across 100m segment buffer.
coverage_quality_flag,str,count / text,Identification,Extracted static geospatial metric: coverage quality flag across 100m segment buffer.
