segment_id,chainage_mid_m,min_method_rank,max_method_rank,rank_range,rank_std_dev,sensitivity_category
NH44_SEG_082,40750.0,94,119,25,10.11,SENSITIVE
NH44_SEG_083,41250.0,87,119,32,12.94,SENSITIVE
NH44_SEG_084,41750.0,85,119,34,13.75,SENSITIVE
NH44_SEG_085,42250.0,81,119,38,15.37,HIGHLY_SENSITIVE
NH44_SEG_086,42750.0,80,119,39,15.78,HIGHLY_SENSITIVE
NH44_SEG_087,43250.0,84,119,35,14.16,SENSITIVE
NH44_SEG_088,43750.0,88,119,31,12.54,SENSITIVE
NH44_SEG_089,44250.0,89,119,30,12.14,SENSITIVE
NH44_SEG_090,44750.0,86,119,33,13.35,SENSITIVE
NH44_SEG_091,45250.0,82,119,37,14.97,HIGHLY_SENSITIVE
NH44_SEG_092,45750.0,83,119,36,14.56,HIGHLY_SENSITIVE
NH44_SEG_093,46250.0,92,119,27,10.92,SENSITIVE
NH44_SEG_094,46750.0,93,119,26,10.52,SENSITIVE
NH44_SEG_095,47250.0,96,119,23,9.3,SENSITIVE
NH44_SEG_096,47750.0,95,119,24,9.71,SENSITIVE
NH44_SEG_097,48250.0,91,119,28,11.33,SENSITIVE
NH44_SEG_098,48750.0,98,119,21,8.49,SENSITIVE
NH44_SEG_099,49250.0,99,119,20,8.09,MODERATE
NH44_SEG_100,49750.0,100,119,19,7.69,MODERATE
NH44_SEG_101,50250.0,101,119,18,7.28,MODERATE
NH44_SEG_102,50750.0,102,119,17,6.88,MODERATE
NH44_SEG_103,51250.0,103,119,16,6.47,MODERATE
NH44_SEG_104,51750.0,104,119,15,6.07,MODERATE
NH44_SEG_105,52250.0,105,119,14,5.66,MODERATE
NH44_SEG_106,52750.0,106,119,13,5.26,MODERATE
NH44_SEG_107,53250.0,107,119,12,4.85,MODERATE
NH44_SEG_108,53750.0,108,119,11,4.45,MODERATE
NH44_SEG_109,54250.0,109,119,10,4.05,VERY_STABLE
NH44_SEG_110,54750.0,110,119,9,3.64,VERY_STABLE
NH44_SEG_111,55250.0,115,119,4,1.62,VERY_STABLE
NH44_SEG_112,55750.0,119,119,0,0.0,VERY_STABLE
NH44_SEG_113,56250.0,118,119,1,0.4,VERY_STABLE
NH44_SEG_114,56750.0,116,119,3,1.21,VERY_STABLE
NH44_SEG_115,57250.0,113,119,6,2.43,VERY_STABLE
