feature_name,min_val,max_val,mean_val,median_val,std_val,p1,p5,p25,p75,p95,p99,valid_cell_count,missing_cell_count,valid_pct,infinite_count,nan_count,out_of_range_count
elevation,249.0,7017.30126953125,2350.41748046875,2192.341552734375,1276.0185546875,272.8441223144531,396.8052978515625,1461.0628662109375,3347.339111328125,4507.794921875,5169.15966796875,4618441,770,99.98,0,0,0
slope,0.0,80.76190948486328,23.5376033782959,25.362253189086914,13.270865440368652,0.28190353512763977,1.1357845067977905,13.240401268005371,33.87178039550781,42.728458404541016,50.12679748535149,4618441,770,99.98,0,0,0
aspect,0.0,357.3761291503906,174.6091766357422,173.413330078125,82.17906188964844,25.029193496704103,46.52568054199219,106.64205169677734,241.23934936523438,308.02423095703125,331.0618652343749,4618441,770,99.98,0,0,0
northness,-1.0,1.0,-0.2643119990825653,-0.38355186581611633,0.6035593152046204,-0.9997254610061646,-0.9931946992874146,-0.8334002494812012,0.24761047959327698,0.7965127825737,0.9321397900581357,4618441,770,99.98,0,0,0
eastness,-1.0,1.0,0.038812633603811264,0.10380218923091888,0.7512316703796387,-0.9996092081069946,-0.9902507662773132,-0.7557644248008728,0.8118757605552673,0.9925389885902405,0.9997016191482544,4618441,770,99.98,0,0,0
profile_curvature,-3.10245680809021,1.9593969583511353,-1.757931022439152e-05,-5.356675319490023e-05,0.03583590313792229,-0.0059451601468026635,-0.0030930321663618088,-0.0009174343722406775,0.0006675876502413303,0.00309060444124043,0.006237407587468626,4619211,0,100.0,0,0,0
plan_curvature,-3.016871690750122,3.1440954208374023,0.0001798948651412502,1.4086043620409328e-06,0.028963008895516396,-0.007026717951521278,-0.0042613407131284475,-0.0010488483239896595,0.0009714968909975141,0.0037860836600884795,0.006568739283829932,4619211,0,100.0,0,0,0
tri,0.0,14537.861328125,36.53583908081055,32.796142578125,152.74331665039062,0.22258071899414061,0.9150543212890625,15.035423278808594,46.90234375,65.92515563964844,90.42867736816407,4619211,0,100.0,0,0,0
tpi,-14604.08984375,4925.9775390625,0.29298290610313416,-0.895965576171875,174.8380889892578,-152.76537475585937,-97.184326171875,-32.323974609375,29.1025390625,108.4462890625,187.50430908203157,4619211,0,100.0,0,0,0
local_relief,0.0,16667.017578125,226.11468505859375,200.939453125,554.4525146484375,1.63134765625,5.4992523193359375,93.113525390625,283.41162109375,405.71923828125,590.7269042968755,4619211,0,100.0,0,0,0
