input_artifact,expected_sha256,observed_sha256,status
v2_3a_route_geojson,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,PASS
v2_3a_segment_inventory,775998e07bbb332d352093961ce2d47b7ca3488179885abceca1df843a50f172,775998e07bbb332d352093961ce2d47b7ca3488179885abceca1df843a50f172,PASS
v2_3b_static_features_csv,e639ef0be04ef71f956eb656dbf00be32acfdae13e48a22ad209b0ce6cdd8301,e639ef0be04ef71f956eb656dbf00be32acfdae13e48a22ad209b0ce6cdd8301,PASS
v2_3c_component_profiles_parquet,f7a28f0455aa3e043aa623a1877962e69d89a1938497905f96e1601564909b89,f7a28f0455aa3e043aa623a1877962e69d89a1938497905f96e1601564909b89,PASS
v2_3d_consensus_prioritization_csv,c4fdd1de90c49108c9250f3be8cf580e5a041c594b9ecbdd24de9d857e01487b,c4fdd1de90c49108c9250f3be8cf580e5a041c594b9ecbdd24de9d857e01487b,PASS
