candidate_id,absolute_path,relative_path,file_type,file_size_bytes,md5_8k,crs,geometry_type,feature_count,total_length_km,source_attribution,selection_status
1,D:\Projects\GeoSlide_JK\data\processed\vectors\jk_nh44.parquet,data/processed/vectors/jk_nh44.parquet,GeoParquet,47215,29d0d4550b34,EPSG:4326,LineString / Point,82,67.85,NGDR / OSM Filtered,Selected Source Candidate (Primary)
2,D:\Projects\GeoSlide_JK\data\processed\vectors\jk_major_roads.parquet,data/processed/vectors/jk_major_roads.parquet,GeoParquet,3491343,c2f8c4c1cd1a,EPSG:4326,Mixed LineString/Point/Poly,4762,3140.11,GeoSlide-JK Major Roads,Secondary Reference Layer
3,C:\Users\Saurabh Sharma\Downloads\J&K\GeoSlide_JK\GeoSlide_JK_Roads_Settlements_Exposure_gpkg_uid_339e889b-f94e-4659-91e3-b9d4df8c47ee\GeoSlide_JK_Roads_Settlements_Exposure.gpkg,raw_downloads/GeoSlide_JK_Roads_Settlements_Exposure.gpkg,GeoPackage,179658752,7eee4d584e6b,EPSG:4326,Mixed LineString/Point/Poly,280589,9663.47,Exposure GPKG Database,Raw Master Archive (Read-Only)
