segment_id,method_rank_range,weight_perturbation_90_width,spatial_bootstrap_90_width,combined_90_rank_interval_width,top_10_probability_weights,uncertainty_source_primary
NH44_SEG_073,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_074,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_075,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_076,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_077,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_078,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_079,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_080,29,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_081,22,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_082,25,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_083,32,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_084,34,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_085,38,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_086,39,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_087,35,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_088,31,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_089,30,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_090,33,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_091,37,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_092,36,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_093,27,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_094,26,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_095,23,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_096,24,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_097,28,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_098,21,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_099,20,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_100,19,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_101,18,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_102,17,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_103,16,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_104,15,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_105,14,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_106,13,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_107,12,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_108,11,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_109,10,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_110,9,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_111,4,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
NH44_SEG_112,0,0.0,0.0,0.0,0.0,WEIGHT_VOLATILITY
NH44_SEG_113,1,0.0,0.0,0.0,0.0,METHOD_SENSITIVITY
