scenario_id,api7_decay_070,api7_decay_085_baseline,api7_decay_095,valid_days_count,sensitivity_range_mm
S0,9.45,12.1,14.0,7,4.55
S1,34.45,37.1,39.0,7,4.55
S2,84.45,87.1,89.0,7,4.55
S3,99.45,102.1,104.0,7,4.55
S4,129.45,132.1,134.0,7,4.55
S5,169.45,172.1,174.0,7,4.55
