component_name,exact_morans_i,expected_morans_i,z_score,permutations,empirical_pvalue,spatial_status
STATIC_SUSCEPTIBILITY_PROFILE,0.582,-0.0064,7.42,999,0.001,STRONG_POSITIVE_CLUSTERING
TERRAIN_SEVERITY_PROFILE,0.514,-0.0064,6.58,999,0.001,STRONG_POSITIVE_CLUSTERING
GEOLOGICAL_CONTEXT_PROFILE,0.612,-0.0064,7.84,999,0.001,STRONG_POSITIVE_CLUSTERING
SURFACE_DRAINAGE_PROFILE,0.445,-0.0064,5.69,999,0.001,MODERATE_POSITIVE_CLUSTERING
