component_name,spearman_r_50m_100m,spearman_r_100m_250m,band_agreement_pct,primary_buffer_confirmed
STATIC_SUSCEPTIBILITY_PROFILE,0.985,0.962,92.4,100m
TERRAIN_SEVERITY_PROFILE,0.991,0.978,94.9,100m
GEOLOGICAL_CONTEXT_PROFILE,0.998,0.995,98.1,100m
SURFACE_DRAINAGE_PROFILE,0.972,0.941,91.1,100m
