scenario_id,raw_ratio_24h_p90,raw_ratio_72h_p90,raw_ratio_api7_p90,bounded_display_ratio_24h,percentile_24h,percentile_72h,percentile_api7,median_trigger_percentile
S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,0.333,0.409,0.429,0.167,18.5,25.0,15.0,18.5
S2,1.0,1.0,1.0,0.5,55.6,61.1,35.0,55.6
S3,1.2,1.364,1.571,0.6,66.7,83.3,55.0,66.7
S4,1.6,1.636,2.714,0.8,88.9,100.0,95.0,95.0
S5,2.133,2.273,4.0,1.0,100.0,100.0,100.0,100.0
