endpoint,url,params,http_status,response_time_ms,data_source,status
GET /,http://127.0.0.1:8000/,None,200,4.2,FastAPI Root Config,PASS
GET /api/v1/health,http://127.0.0.1:8000/api/v1/health,None,200,2.1,System Health Monitor,PASS
GET /api/v1/status,http://127.0.0.1:8000/api/v1/status,None,200,5.8,Live Project Audit Registry,PASS
GET /api/v1/districts,http://127.0.0.1:8000/api/v1/districts,None,200,12.4,jk_districts.geojson,PASS
GET /api/v1/districts/boundary,http://127.0.0.1:8000/api/v1/districts/boundary,None,200,18.5,jk_districts.geojson,PASS
GET /api/v1/terrain/click,http://127.0.0.1:8000/api/v1/terrain/click,"lat=33.25, lon=75.25",200,24.6,Real Processed COG & GeoTIFF Rasters,PASS
GET /api/v1/susceptibility,http://127.0.0.1:8000/api/v1/susceptibility,None,200,6.3,XGBoost Model & Probability Raster,PASS
GET /api/v1/transparency,http://127.0.0.1:8000/api/v1/transparency,None,200,3.9,Phase 4 Spatial CV Audit Manifest,PASS
GET /api/v1/location-check,http://127.0.0.1:8000/api/v1/location-check,"lat=33.25, lon=75.25",200,28.1,Real-time Point Risk Sampling Engine,PASS
