artifact,expected_hash,observed_hash,status,expected_value,observed_value
v2_3a_route_geojson,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,PASS,,
v2_3a_segment_inventory,775998e07bbb332d352093961ce2d47b7ca3488179885abceca1df843a50f172,775998e07bbb332d352093961ce2d47b7ca3488179885abceca1df843a50f172,PASS,,
v2_3b_static_features_csv,e639ef0be04ef71f956eb656dbf00be32acfdae13e48a22ad209b0ce6cdd8301,e639ef0be04ef71f956eb656dbf00be32acfdae13e48a22ad209b0ce6cdd8301,PASS,,
v2_3c_component_profiles_row_count,,,PASS,158.0,158.0
