segment_id,sequence_number,start_chainage_m,end_chainage_m,nominal_length_m,actual_geometry_length_m,start_longitude,start_latitude,end_longitude,end_latitude,midpoint_longitude,midpoint_latitude,vertex_count,source_route_sha256,terminal_segment
NH44_SEG_031,31,15000.0,15500.0,500.0,500.0,75.283161,33.063593,75.283821,33.068069,75.283491,33.065831,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_032,32,15500.0,16000.0,500.0,500.0,75.283821,33.068069,75.284481,33.072544,75.284151,33.070306,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_033,33,16000.0,16500.0,500.0,500.0,75.284481,33.072544,75.28514,33.07702,75.28481,33.074782,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_034,34,16500.0,17000.0,500.0,500.0,75.28514,33.07702,75.2858,33.081496,75.28547,33.079258,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_035,35,17000.0,17500.0,500.0,500.0,75.2858,33.081496,75.28646,33.085972,75.28613,33.083734,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_036,36,17500.0,18000.0,500.0,500.0,75.28646,33.085972,75.28712,33.090447,75.28679,33.088209,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_037,37,18000.0,18500.0,500.0,500.0,75.28712,33.090447,75.287779,33.094923,75.287449,33.092685,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_038,38,18500.0,19000.0,500.0,500.0,75.287779,33.094923,75.288439,33.099399,75.288109,33.097161,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_039,39,19000.0,19500.0,500.0,500.0,75.288439,33.099399,75.2891,33.103875,75.288769,33.101637,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_040,40,19500.0,20000.0,500.0,500.0,75.2891,33.103875,75.28976,33.10835,75.28943,33.106112,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_041,41,20000.0,20500.0,500.0,500.0,75.28976,33.10835,75.29042,33.112826,75.29009,33.110588,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_042,42,20500.0,21000.0,500.0,500.0,75.29042,33.112826,75.29108,33.117302,75.29075,33.115064,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_043,43,21000.0,21500.0,500.0,500.0,75.29108,33.117302,75.29174,33.121777,75.29141,33.11954,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_044,44,21500.0,22000.0,500.0,500.0,75.29174,33.121777,75.292401,33.126253,75.292071,33.124015,2,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
NH44_SEG_045,45,22000.0,22500.0,500.0,500.0,75.292401,33.126253,75.294083,33.130423,75.292731,33.128491,14,7141c209c578f8e8f19bc13b85409eeb220b709703c62691fac732594b2e3564,False
