support_node_id,latitude_deg,longitude_deg,longitude_spacing_deg,latitude_spacing_deg,assigned_segments_count,assigned_segment_range,segment_ids_sha256,node_type,mapping_source,computation_path,verification_status
SUPPORT_NODE_33.25N_75.10E,33.25,75.1,0.02,0.02,20,NH44_SEG_001..NH44_SEG_020,6d75af7aa5d089578a688a2ab8dfbb169954441c49be264e8ffac7254c0e79e7,Corridor-Support Interpolation Node,0.02-degree Corridor Sampling Sub-Grid,Nearest-neighbor 0.02-degree sampling node association,VERIFIED_EXACT
SUPPORT_NODE_33.25N_75.12E,33.25,75.12,0.02,0.02,20,NH44_SEG_021..NH44_SEG_040,6b603efd2b1184224f1be3b12944ac1045940b650869fe0b29f03eeac6129160,Corridor-Support Interpolation Node,0.02-degree Corridor Sampling Sub-Grid,Nearest-neighbor 0.02-degree sampling node association,VERIFIED_EXACT
SUPPORT_NODE_33.25N_75.14E,33.25,75.14,0.02,0.02,20,NH44_SEG_041..NH44_SEG_060,2f91b1cf78b71984e4b242ef9583d20e561831df19b79afc9a8652406605e336,Corridor-Support Interpolation Node,0.02-degree Corridor Sampling Sub-Grid,Nearest-neighbor 0.02-degree sampling node association,VERIFIED_EXACT
SUPPORT_NODE_33.25N_75.16E,33.25,75.16,0.02,0.02,20,NH44_SEG_061..NH44_SEG_080,5d20165a0e8604f216d77b3b339b20d80395ab7ea04b704f564f9293a63794da,Corridor-Support Interpolation Node,0.02-degree Corridor Sampling Sub-Grid,Nearest-neighbor 0.02-degree sampling node association,VERIFIED_EXACT
SUPPORT_NODE_33.25N_75.18E,33.25,75.18,0.02,0.02,20,NH44_SEG_081..NH44_SEG_100,1f01ffca0bd50e9894aff915e30bfe9ae9e6958750eb97cd87b308d7c2fdd3ae,Corridor-Support Interpolation Node,0.02-degree Corridor Sampling Sub-Grid,Nearest-neighbor 0.02-degree sampling node association,VERIFIED_EXACT
SUPPORT_NODE_33.25N_75.20E,33.25,75.2,0.02,0.02,20,NH44_SEG_101..NH44_SEG_120,3e9105df573a9e7900641672e68451dd7fdaccc065a3fb297e758fc65313473f,Corridor-Support Interpolation Node,0.02-degree Corridor Sampling Sub-Grid,Nearest-neighbor 0.02-degree sampling node association,VERIFIED_EXACT
SUPPORT_NODE_33.25N_75.22E,33.25,75.22,0.02,0.02,20,NH44_SEG_121..NH44_SEG_140,77e00604a9ef582b6e599cebcfccf61ef198123ad87c99cde13d8c4f9a823552,Corridor-Support Interpolation Node,0.02-degree Corridor Sampling Sub-Grid,Nearest-neighbor 0.02-degree sampling node association,VERIFIED_EXACT
SUPPORT_NODE_33.25N_75.24E,33.25,75.24,0.02,0.02,18,NH44_SEG_141..NH44_SEG_158,5b8cd7d82c8ee6b95432c1ca0d28e6b86231b3dc4634516801885ed17e9aa08a,Corridor-Support Interpolation Node,0.02-degree Corridor Sampling Sub-Grid,Nearest-neighbor 0.02-degree sampling node association,VERIFIED_EXACT
