source_file,original_feature_id,osm_way_id,geometry_sha256,coordinate_count,edge_length_m,start_coordinate,end_coordinate,road_classification,source_provenance_status
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_18,OSM_WAY_131109979,97c7b7cced44c42d6edd0102b159bb7fec99ee37f82f76916f34c5125df4d405,4,0.0,"(75.293531, 33.129757)","(75.293300, 33.129472)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_19,OSM_WAY_131109980,e2e5cd7fb4f9e302055975520e3b82d690d36a02237e927ea25980154c001c18,14,0.003,"(75.295816, 33.131431)","(75.293531, 33.129757)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_20,OSM_WAY_131109981,002c31adcf4f3486715635612a928bdbc25c800e036c6fb238478845455f3fb1,14,0.003,"(75.297538, 33.133652)","(75.296108, 33.131617)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_21,OSM_WAY_131109982,a51349f116045867e7986fa241f5cf6dfd0a2c88bbd8c146d68ea18362123d30,2,0.0,"(75.297515, 33.133864)","(75.297851, 33.134153)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_22,OSM_WAY_131109983,b2a5de6a48ef6398347b7b46c8277b3fb74953aa83a67a9ab91cd4892e5bc326,31,0.008,"(75.302988, 33.140456)","(75.298106, 33.134161)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_23,OSM_WAY_131109984,8a0ccb44381843219799cc4679a2c4523d7b5f8808a6b4216402d422e056a474,21,0.005,"(75.304151, 33.144963)","(75.302988, 33.140456)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_24,OSM_WAY_131109985,715659b022c711047b6767a82dc3fdcb35a70594d8ee35d794c83cbf4e2c202d,18,0.011,"(75.231584, 33.242318)","(75.240477, 33.236763)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_25,OSM_WAY_131109986,3de1ffbf0f24fda2e8badad60421639376a022eb9d679b36b7fbd5219534b2e6,3,0.001,"(75.230941, 33.242329)","(75.231584, 33.242318)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_26,OSM_WAY_131109987,0c0ad9b9770c8dae648788d09927c7b4fdb7456e5d6c137b5ab576d813fb17a0,23,0.012,"(75.220079, 33.245111)","(75.230941, 33.242329)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_27,OSM_WAY_131109988,2f89e0974472fff6eef3a6c6250d8b43b6e31e4287a5f0d2a71b186f96b23337,9,0.001,"(75.219984, 33.245046)","(75.219083, 33.245516)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_28,OSM_WAY_131109989,d19f942bf78e92b383dc601161c3b124078996d249d0443b5a5c3d70b7785820,16,0.01,"(75.210578, 33.250674)","(75.219103, 33.245598)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_29,OSM_WAY_131109990,d4a5bd58eafe49ff84bb0576fbe11c1167f96187cfe680f253b0cb6c1aa9d758,17,0.006,"(75.206402, 33.254179)","(75.210578, 33.250674)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_30,OSM_WAY_131109991,c555860d162acd890e76beff6bba3f43ffe8cfb60055737c1d0e81ca89008ec5,18,0.003,"(75.205163, 33.256835)","(75.206402, 33.254179)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_31,OSM_WAY_131109992,f2b08dcad9b0e19f973f84b562636d93c8bdc5a17c454cb53679fb1361b57a4d,22,0.006,"(75.199525, 33.257230)","(75.204479, 33.257019)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_32,OSM_WAY_131109993,13df69688ff4e4d46abd07febe2be8d25175bc112286bf5a647c404df57ca79f,3,0.001,"(75.205007, 33.256710)","(75.204491, 33.256866)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_33,OSM_WAY_131109994,fbd636846cc44f507d29261f70cd47711f9f1b87793bd67e13b4570324ed8ae3,5,0.002,"(75.197992, 33.258849)","(75.199525, 33.257230)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
data/audit/nh44_repaired_mainline_source_edges.parquet,FEATURE_34,OSM_WAY_131109995,1d68b5ae38e893d7997928baafa63224800d5e3c9ebadc03d8d41adb1b111df3,8,0.002,"(75.196312, 33.258951)","(75.197992, 33.258849)",national_primary_highway,LOCAL REFERENCE — NOT INDEPENDENTLY VERIFIED AS OSM
