native_cell_id,raster_crs,raster_row_index,raster_column_index,center_latitude_deg,center_longitude_deg,west_bound_deg,east_bound_deg,south_bound_deg,north_bound_deg,longitude_spacing_deg,latitude_spacing_deg,coordinate_convention,segment_count,assigned_segment_range,segment_ids_sha256,mapping_source,computation_path,verification_status
GPM_NATIVE_33.25N_75.15E,EPSG:4326,567,1251,33.25,75.15,75.1,75.2,33.2,33.3,0.1,0.1,CENTER_POINT,98,NH44_SEG_001..NH44_SEG_098,f10e8df1a6dd139e9ae749f60c279f7e5f5b06158ad1a91bb67f25eb1e8187e9,Authoritative GPM IMERG 0.1-degree Grid Transform,Spatial point-in-bbox intersection against GPM IMERG V06B grid,VERIFIED_EXACT
GPM_NATIVE_33.25N_75.25E,EPSG:4326,567,1252,33.25,75.25,75.2,75.3,33.2,33.3,0.1,0.1,CENTER_POINT,60,NH44_SEG_099..NH44_SEG_158,0ab95640f695a880e66888ddc04b0b2be40189a481722ce3af764b89ccc03517,Authoritative GPM IMERG 0.1-degree Grid Transform,Spatial point-in-bbox intersection against GPM IMERG V06B grid,VERIFIED_EXACT
