pair,spearman_rho,kendall_tau,top_10_pct_overlap,top_20_pct_overlap
DHI_A vs DHI_B,0.982,0.912,0.938,0.969
DHI_A vs DHI_C,0.965,0.885,0.875,0.938
DHI_A vs DHI_D,0.998,0.978,1.0,1.0
