segment_id,weight_median_rank,rank_p5,rank_p25,rank_p75,rank_p95,rank_interval_width_90,probability_top_10_pct,probability_top_20_pct
NH44_SEG_066,52.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0
NH44_SEG_067,54.0,54.0,54.0,54.0,54.0,0.0,0.0,0.0
NH44_SEG_068,61.0,61.0,61.0,61.0,61.0,0.0,0.0,0.0
NH44_SEG_069,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0
NH44_SEG_070,69.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0
NH44_SEG_071,72.0,72.0,72.0,72.0,72.0,0.0,0.0,0.0
NH44_SEG_072,71.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0
NH44_SEG_073,73.0,73.0,73.0,73.0,73.0,0.0,0.0,0.0
NH44_SEG_074,74.0,74.0,74.0,74.0,74.0,0.0,0.0,0.0
NH44_SEG_075,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0
NH44_SEG_076,76.0,76.0,76.0,76.0,76.0,0.0,0.0,0.0
NH44_SEG_077,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0
NH44_SEG_078,78.0,78.0,78.0,78.0,78.0,0.0,0.0,0.0
NH44_SEG_079,79.0,79.0,79.0,79.0,79.0,0.0,0.0,0.0
NH44_SEG_080,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0
NH44_SEG_081,97.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0
NH44_SEG_082,94.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0
NH44_SEG_083,87.0,87.0,87.0,87.0,87.0,0.0,0.0,0.0
NH44_SEG_084,85.0,85.0,85.0,85.0,85.0,0.0,0.0,0.0
NH44_SEG_085,81.0,81.0,81.0,81.0,81.0,0.0,0.0,0.0
NH44_SEG_086,80.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0
NH44_SEG_087,84.0,84.0,84.0,84.0,84.0,0.0,0.0,0.0
NH44_SEG_088,88.0,88.0,88.0,88.0,88.0,0.0,0.0,0.0
NH44_SEG_089,89.0,89.0,89.0,89.0,89.0,0.0,0.0,0.0
NH44_SEG_090,86.0,86.0,86.0,86.0,86.0,0.0,0.0,0.0
NH44_SEG_091,82.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0
NH44_SEG_092,83.0,83.0,83.0,83.0,83.0,0.0,0.0,0.0
NH44_SEG_093,92.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0
NH44_SEG_094,93.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0
NH44_SEG_095,96.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0
NH44_SEG_096,95.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0
NH44_SEG_097,91.0,91.0,91.0,91.0,91.0,0.0,0.0,0.0
NH44_SEG_098,98.0,98.0,98.0,98.0,98.0,0.0,0.0,0.0
NH44_SEG_099,99.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0
NH44_SEG_100,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
NH44_SEG_101,101.0,101.0,101.0,101.0,101.0,0.0,0.0,0.0
