point_id,location_name,lat,lon,district,ui_elevation_m,api_elevation_m,raster_elevation_m,diff_elevation,ui_susc_prob,api_susc_prob,raster_susc_prob,diff_susc,ui_hazard_cls,api_hazard_cls,raster_hazard_cls,match
1,Jammu City,32.73,74.87,Jammu,358.14,358.14,358.14,0.0,0.0198,0.0198,0.0198,0.0,Very Low,Very Low,Very Low,EXACT
2,Ramban NH-44,33.25,75.25,Ramban,1280.18,1280.18,1280.18,0.0,0.8761,0.8761,0.8761,0.0,Critical,Critical,Critical,EXACT
3,Srinagar City,34.08,74.79,Srinagar,1585.72,1585.72,1585.72,0.0,0.0011,0.0011,0.0011,0.0,Very Low,Very Low,Very Low,EXACT
4,Kupwara Slopes,34.52,74.25,Kupwara,1613.6,1613.6,1613.6,0.0,0.8414,0.8414,0.8414,0.0,High,High,High,EXACT
5,Kishtwar Valley,33.32,75.77,Kishtwar,1680.94,1680.94,1680.94,0.0,0.0655,0.0655,0.0655,0.0,Very Low,Very Low,Very Low,EXACT
