raster_name,filename,file_size_bytes,sha256_full,sha256_16,crs,width,height,dtype,nodata
landslide_presence_polygons_100m,landslide_presence_polygons_100m.tif,41638,e50c2259672b692dcd7537ce859264e6dabf0a6671ebdcc804a8bfe83619f348,e50c2259672b692d,EPSG:32643,3050,2937,uint8,255
landslide_presence_points_100m,landslide_presence_points_100m.tif,41012,dc395dc34089cc842775418423f8421fd061a10962a1cc0b2040e65662865aeb,dc395dc34089cc84,EPSG:32643,3050,2937,uint8,255
landslide_presence_combined_100m,landslide_presence_combined_100m.tif,45102,6a47fdeabec2ed29610d433abb9ef7784ec3864567fc60aea463c342d5ae6a32,6a47fdeabec2ed29,EPSG:32643,3050,2937,uint8,255
distance_to_landslide_m_100m,distance_to_landslide_m_100m.tif,8362517,45e8305a996c61539268468e486ac06363e970c3997252d2a398b25c707e8d5b,45e8305a996c6153,EPSG:32643,3050,2937,float32,-9999.0
landslide_mapping_coverage_mask_100m,landslide_mapping_coverage_mask_100m.tif,35993,2f4e0475fa45c939693a2a48eb727d7e4e199a3b6c74fe0c485395cd90bd1f62,2f4e0475fa45c939,EPSG:32643,3050,2937,uint8,255
modelling_domain_mask_100m,modelling_domain_mask_100m.tif,39538,2591d8cfa95e3142b307b8b513b9f0e0f4453969ff73e4d1bd3668629b29bb91,2591d8cfa95e3142,EPSG:32643,3050,2937,uint8,255
landslide_target_label_100m,landslide_target_label_100m.tif,157070,3fb6d5c38077e7f2fa7b221a755bfc57f15dd6587c12d156c61785d84b9d5e7c,3fb6d5c38077e7f2,EPSG:32643,3050,2937,uint8,255
