corridor_id,corridor_name,origin_name,destination_name,route_direction,chainage_m,chainage_km,longitude,latitude,projected_x,projected_y,district,geometry_version
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,39500.0,39.5,75.407615,33.608137,537814.45,3718782.83,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,39600.0,39.6,75.406548,33.608059,537715.54,3718773.79,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,39700.0,39.7,75.405471,33.608036,537615.59,3718770.79,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,39800.0,39.8,75.404395,33.607987,537515.81,3718765.07,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,39900.0,39.9,75.40336,33.607753,537419.89,3718738.65,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40000.0,40.0,75.402504,33.607211,537340.73,3718678.35,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40100.0,40.1,75.401589,33.606736,537256.05,3718625.25,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40200.0,40.2,75.400649,33.606295,537169.03,3718576.08,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40300.0,40.3,75.399786,33.605763,537089.18,3718516.74,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40400.0,40.4,75.398973,33.605172,537014.01,3718450.96,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40500.0,40.5,75.398118,33.604623,536934.92,3718389.77,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40600.0,40.6,75.397283,33.604053,536857.7,3718326.26,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40700.0,40.7,75.396386,33.603559,536774.69,3718271.24,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40800.0,40.8,75.395428,33.603146,536685.99,3718225.05,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,40900.0,40.9,75.394486,33.602711,536598.76,3718176.54,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,41000.0,41.0,75.393645,33.602147,536520.99,3718113.72,anantnag,2.3A
